ID	s	d	ts	te	LLC	size
------------------------------
9	3	8	12	12	0	120	
91	0	8	118	118	0	1200	
10	3	6	12	13	1	2400	
14	0	7	22	23	1	2400	
19	0	8	22	24	2	1200	
93	0	6	118	120	2	1200	
20	3	7	22	25	3	1200	
50	0	7	50	53	3	120	
47	0	8	50	54	4	2400	
104	3	7	137	141	4	120	
81	0	8	99	104	5	1200	
98	3	6	118	123	5	2400	
0	0	8	0	6	6	120	
31	0	6	38	45	7	120	
36	3	7	38	45	7	3600	
80	0	8	99	106	7	120	
83	0	7	99	106	7	120	
53	3	7	70	78	8	120	
74	3	7	85	93	8	120	
27	3	6	22	31	9	3600	
88	3	6	118	129	11	120	
56	3	6	70	82	12	3600	
64	0	8	85	97	12	2400	
5	0	8	0	13	13	3600	
58	3	8	70	83	13	1200	
72	0	8	85	98	13	120	
86	0	7	99	113	14	3600	
44	3	6	50	65	15	2400	
101	3	6	137	152	15	2400	
51	0	7	50	74	24	1200	
21	4	7	22	57	35	120	
22	4	7	22	59	37	1200	
2	3	8	0	40	40	1200	
28	4	8	38	79	41	120	
18	0	7	22	64	42	3600	
32	0	7	38	82	44	1200	
70	0	6	85	129	44	1200	
7	3	7	0	47	47	1200	
55	2	8	70	117	47	120	
75	3	7	85	133	48	3600	
96	0	8	118	166	48	2400	
1	3	7	0	51	51	2400	
33	2	6	38	90	52	2400	
34	2	8	38	92	54	1200	
37	0	6	38	92	54	3600	
12	0	7	12	71	59	2400	
26	1	6	22	86	64	1200	
30	1	8	38	102	64	1200	
42	1	8	50	117	67	120	
3	2	6	0	71	71	1200	
45	4	7	50	129	79	1200	
29	4	7	38	127	89	2400	
57	4	8	70	166	96	1200	
39	2	8	38	164	126	2400	
15	1	8	22	162	140	2400	
4	2	8	0	145	145	2400	
