ID	s	d	ts	te	LLC	size
------------------------------
97	2	8	137	144	7	120	
102	1	8	137	144	7	120	
106	2	8	137	144	7	120	
38	4	8	44	55	11	2400	
100	1	7	137	149	12	1200	
82	2	6	108	128	20	2400	
95	1	8	124	144	20	1200	
88	1	7	124	146	22	120	
96	1	7	124	146	22	120	
36	4	6	44	69	25	1200	
15	4	8	33	65	32	1200	
24	4	8	33	65	32	1200	
39	4	8	44	77	33	120	
66	2	6	83	117	34	120	
18	4	6	33	69	36	2400	
20	4	6	33	69	36	2400	
60	2	8	83	119	36	3600	
50	0	5	63	106	43	3600	
54	0	5	63	106	43	120	
72	2	8	96	144	48	120	
2	4	6	0	49	49	120	
4	4	8	0	49	49	120	
80	2	6	108	158	50	120	
23	2	7	33	86	53	120	
70	2	7	96	149	53	120	
41	2	6	63	117	54	120	
44	1	8	63	117	54	120	
47	1	6	63	117	54	120	
49	2	6	63	117	54	1200	
52	1	8	63	117	54	120	
64	2	7	83	137	54	1200	
7	1	7	17	72	55	120	
34	2	6	44	99	55	120	
40	2	7	63	118	55	120	
42	1	7	63	118	55	120	
13	2	7	33	90	57	1200	
16	1	7	33	90	57	2400	
25	1	7	33	90	57	2400	
26	2	7	33	90	57	2400	
27	1	7	33	90	57	2400	
31	1	7	44	101	57	1200	
81	2	7	108	165	57	1200	
8	4	8	17	77	60	120	
11	3	5	17	77	60	3600	
37	2	7	44	104	60	2400	
17	2	7	33	94	61	3600	
74	1	7	96	157	61	2400	
75	2	7	96	157	61	3600	
32	3	5	44	106	62	120	
35	0	5	44	106	62	1200	
46	4	6	63	125	62	2400	
48	4	8	63	125	62	1200	
57	1	7	83	149	66	120	
1	1	7	0	74	74	1200	
21	0	8	33	118	85	1200	
51	4	8	63	150	87	120	
