ID	s	d	ts	te	LLC	size
------------------------------
6	3	6	15	15	0	3600	
19	0	8	30	30	0	3600	
24	0	8	31	31	0	3600	
51	3	6	75	75	0	3600	
63	3	6	81	81	0	3600	
29	0	6	48	49	1	2400	
33	3	7	45	46	1	120	
50	0	6	68	69	1	120	
25	3	6	27	29	2	1200	
49	3	6	66	69	3	2400	
4	0	6	2	6	4	3600	
39	0	6	45	49	4	3600	
27	4	7	43	48	5	120	
28	0	8	50	55	5	120	
1	3	8	0	6	6	120	
18	3	7	30	37	7	1200	
32	0	8	48	55	7	120	
22	4	8	32	55	23	3600	
61	4	7	81	125	44	120	
23	4	6	29	77	48	120	
47	2	8	68	120	52	2400	
59	4	8	74	126	52	3600	
8	2	8	18	71	53	3600	
9	1	6	18	71	53	1200	
34	2	8	48	101	53	1200	
10	1	6	16	71	55	120	
30	1	8	45	100	55	1200	
37	2	7	49	105	56	2400	
43	4	7	68	124	56	3600	
20	1	7	33	90	57	1200	
31	2	7	48	105	57	2400	
35	2	7	47	104	57	3600	
45	2	8	61	119	58	3600	
13	1	8	12	71	59	3600	
14	1	6	10	70	60	3600	
21	2	7	26	86	60	120	
26	1	7	28	90	62	2400	
56	1	8	81	144	63	120	
2	4	8	3	68	65	2400	
15	2	7	10	78	68	3600	
40	1	8	48	117	69	1200	
0	2	6	0	70	70	120	
54	1	6	74	144	70	1200	
52	2	8	81	155	74	2400	
5	1	7	3	78	75	2400	
58	2	8	80	155	75	2400	
3	2	7	0	77	77	2400	
64	2	7	76	157	81	3600	
42	4	8	62	150	88	120	
38	1	6	48	155	107	2400	
